id,type,name,context,affects,becomings,lines_of_flight
# PERSONS - Primary/Extraction
farmer,person,The Farmer,200-acre grain operation Midwest US,silence|cyclical-time|soil-smell|dawn-rhythm,becoming-patient|becoming-weather-attuned|becoming-tool,code-as-tending|deployment-as-harvest
rancher,person,The Rancher,Cattle ranch Wyoming,animal-presence|fence-horizon|dust-smell|solitude,becoming-herd-thinker|becoming-patient|becoming-weather-reader,thought-as-range|life-as-husbandry
fisherman,person,The Fisherman,Commercial fishing boat Maine,salt-spray|net-weight|tide-rhythm|danger,becoming-sea-reader|becoming-early|becoming-patient,code-as-net|harvest-from-depths
logger,person,The Logger,Timber operation Pacific Northwest,chainsaw-roar|wood-smell|physical-danger|camp-isolation,becoming-cutter|becoming-precise|becoming-strong,the-fall-as-logic|clearing-as-creation
miner,person,The Miner,Coal mine Appalachia,darkness|dust-lung|solidarity|danger,becoming-underground|becoming-collective|becoming-careful,depth-as-knowledge|extraction-as-life
oilfield_worker,person,The Oilfield Worker,Drilling rig Texas,machine-noise|mud-smell|shift-rhythm|danger,becoming-machine-part|becoming-endurance|becoming-team,pressure-as-logic|the-gush-as-reward

# PERSONS - Processing/Manufacturing
factory_worker,person,The Factory Worker,Auto assembly line Detroit,machine-rhythm|repetition|collective-labor|noise,becoming-paced|becoming-synchronized|becoming-anonymous,code-as-assembly|the-beauty-of-the-line
slaughterhouse_worker,person,The Slaughterhouse Worker,Meat processing plant,blood-smell|cold|speed|desensitization,becoming-numb|becoming-fast|becoming-efficient,the-cut-as-routine|life-as-commodity
textile_worker,person,The Textile Worker,Garment factory Bangladesh,machine-hum|fabric-dust|speed|low-light,becoming-fast|becoming-precise|becoming-invisible,thread-as-connection|the-beauty-of-the-seam
welder,person,The Welder,Shipyard construction,arc-brightness|heat|mask-isolation|precision,becoming-focused|becoming-heat-resistant|becoming-precise,joining-as-creation|the-bead-as-signature
baker,person,The Baker,Commercial bakery 3am shift,yeast-smell|heat|early-hours|repetition,becoming-early|becoming-patient|becoming-rhythmic,rising-as-logic|the-crust-as-completion

# PERSONS - Transport/Logistics
trucker,person,The Long-Haul Trucker,Cross-country freight owner-operator,solitude|highway-hypnosis|caffeine-edge|debt-weight,becoming-road|becoming-isolated|becoming-endurance,thought-as-miles|the-pleasure-of-the-endless
train_driver,person,The Train Driver,Freight rail cross-country,signal-watching|isolation|schedule-pressure|monotony,becoming-scheduled|becoming-patient|becoming-vigilant,track-as-destiny|the-weight-behind
postal_worker,person,The Postal Worker,Mail carrier suburban route,weather-exposure|dog-encounters|routine|neighborhood-knowledge,becoming-known|becoming-reliable|becoming-weathered,delivery-as-connection|the-route-as-home
courier,person,The Bike Courier,Urban package delivery,traffic-danger|speed|physical-exhaustion|independence,becoming-fast|becoming-urban|becoming-invisible,city-as-grid|the-package-as-purpose
ship_captain,person,The Ship Captain,Container vessel Pacific crossing,horizon-watching|crew-responsibility|isolation|time-zones,becoming-responsible|becoming-patient|becoming-navigator,ocean-as-office|cargo-as-world

# PERSONS - Service/Care
nurse,person,The Nurse,Hospital night shift ICU,beep-rhythm|body-fluids|life-death-edge|exhaustion,becoming-vigilant|becoming-gentle|becoming-strong,care-as-code|the-body-as-territory
health_aide,person,The Home Health Aide,Eldercare private homes,body-weight|intimacy-with-stranger|dignity-labor|low-wage-pressure,becoming-gentle|becoming-invisible|becoming-essential,care-as-code|the-sacred-in-the-banal
teacher,person,The Teacher,Public school inner city,noise|attention-fragmentation|hope|exhaustion,becoming-patient|becoming-loud|becoming-strategic,knowledge-as-gift|the-classroom-as-world
janitor,person,The Janitor,Office building night shift,solitude|chemical-smell|invisibility|rhythm,becoming-invisible|becoming-thorough|becoming-nocturnal,cleaning-as-meditation|the-building-as-body
cook,person,The Short-Order Cook,24-hour diner highway exit,speed|grease-heat|order-ticker-rhythm|night-silence,becoming-fast|becoming-heat-tolerant|becoming-anonymous,input-output-purity|the-beauty-of-the-rush
barista,person,The Barista,Coffee shop urban,steam-hiss|customer-faces|repetition|performance,becoming-performer|becoming-fast|becoming-pleasant,ritual-as-service|the-cup-as-connection
hairstylist,person,The Hairstylist,Neighborhood salon,touch-intimacy|conversation|transformation|standing,becoming-listener|becoming-transformer|becoming-trusted,the-cut-as-identity|touch-as-knowledge

# PERSONS - Technical/Specialist
electrician,person,The Electrician,Residential contractor suburban,wire-color|danger|code-compliance|diagnosis,becoming-systematic|becoming-careful|becoming-diagnostic,current-as-logic|the-circuit-as-puzzle
plumber,person,The Plumber,Service calls residential,water-flow|pipe-dark|problem-solving|crawlspace,becoming-problem-solver|becoming-patient|becoming-dirty,flow-as-logic|the-joint-as-seal
mechanic,person,The Auto Mechanic,Independent garage small town,oil-smell|engine-sounds|diagnosis|customer-trust,becoming-listener|becoming-diagnostic|becoming-trusted,engine-as-body|the-fix-as-satisfaction
hvac_tech,person,The HVAC Technician,Service calls residential,temperature|attic-heat|seasonal-demand|diagnosis,becoming-diagnostic|becoming-weather-aware|becoming-patient,climate-as-control|comfort-as-product
surveyor,person,The Surveyor,Land surveying rural,precision|sun-exposure|walking|measurement,becoming-precise|becoming-patient|becoming-observer,land-as-number|boundary-as-meaning

# PERSONS - Symbolic/Clerical
clerk,person,The Government Clerk,DMV county office,queue-time|form-repetition|bureaucratic-patience|public-frustration,becoming-procedure|becoming-gatekeeper|becoming-invisible,structure-as-care|the-poetry-of-the-form
librarian,person,The Librarian,Public library small city,silence|book-dust|knowledge-navigation|community,becoming-quiet|becoming-helpful|becoming-organized,catalog-as-world|the-book-as-portal
data_entry,person,The Data Entry Worker,Insurance company back office,keystroke-rhythm|screen-glare|accuracy-pressure|monotony,becoming-fast|becoming-accurate|becoming-numb,data-as-reality|the-field-as-world
call_center,person,The Call Center Operator,Customer service cubicle farm,headset-weight|script-following|de-escalation|surveillance,becoming-calm|becoming-scripted|becoming-patient,voice-as-interface|the-call-as-unit
tax_preparer,person,The Tax Preparer,Seasonal H&R Block,number-focus|deadline-pressure|client-anxiety|seasonal,becoming-seasonal|becoming-precise|becoming-patient,form-as-life|the-refund-as-joy

# PERSONS - Precarious/Crisis
gig_driver,person,The Gig Delivery Driver,Food delivery app urban,rating-anxiety|route-optimization|tip-hope|vehicle-dependence,becoming-optimized|becoming-anxious|becoming-invisible,algorithm-as-boss|the-star-as-wage
temp_worker,person,The Temp Agency Worker,Various office assignments,quick-learning|no-belonging|disposability|adaptation,becoming-adaptable|becoming-disposable|becoming-quick,impermanence-as-skill|the-assignment-as-home
migrant_worker,person,The Seasonal Migrant Worker,Follows fruit harvest California,transience|body-ache|remittance-hope|community-in-motion,becoming-mobile|becoming-rootless|becoming-collective,home-as-movement|the-harvest-as-destination
unemployed,person,The Unemployed Worker,Job searching from home,rejection|time-dilation|identity-crisis|hope-erosion,becoming-invisible|becoming-anxious|becoming-persistent,the-application-as-prayer|worth-without-work
incarcerated,person,The Incarcerated Worker,Prison clerical unit,time-weight|surveillance|minimal-agency|routine-as-survival,becoming-numbered|becoming-patient|becoming-internal,freedom-in-constraint|the-inside-as-world

# PERSONS - Relational
mother,person,The Mother,New parent sleep-deprived,exhaustion|love-intensity|body-change|responsibility,becoming-selfless|becoming-vigilant|becoming-patient,child-as-world|the-cry-as-call
father,person,The Father,Working parent commuter,provider-pressure|absence-guilt|love|exhaustion,becoming-provider|becoming-absent|becoming-tired,work-as-love|the-evening-as-precious
grandmother,person,The Grandmother,Retired caregiver,memory|body-slowing|wisdom|mortality-awareness,becoming-slow|becoming-wise|becoming-mortal,the-grandchild-as-continuation|time-as-gift
stranger,person,The Stranger,Brief encounter public transit,anonymity|possibility|projection|distance,becoming-curious|becoming-cautious|becoming-open,the-unknown-as-mirror|connection-without-name

# ENVIRONMENTS
sea,environment,The Sea,Coastal edge tidal rhythm,horizon-pull|salt-air|wave-repetition|depth-fear,becoming-fluid|becoming-edge-dweller|becoming-small,code-as-current|thought-as-tide
forest,environment,The Old-Growth Forest,Pacific Northwest ancient trees,silence|canopy-dark|decay-smell|deep-time,becoming-still|becoming-listener|becoming-patient,growth-as-centuries|the-wisdom-of-rot
desert,environment,The Desert,High desert New Mexico,heat|silence|vastness|thirst,becoming-sparse|becoming-patient|becoming-small,emptiness-as-fullness|the-horizon-as-always
mountain,environment,The Mountain,High altitude climbing,thin-air|effort|view|danger,becoming-slow|becoming-focused|becoming-small,ascent-as-logic|the-summit-as-question
factory,environment,The Factory Floor,Assembly line industrial,machine-noise|body-pacing|repetition|collective-labor,becoming-paced|becoming-part|becoming-synchronized,code-as-assembly|the-beauty-of-the-line
hospital,environment,The Hospital,Intensive care liminal space,beep-rhythm|antiseptic-smell|life-death-edge|waiting,becoming-vigilant|becoming-helpless|becoming-present,code-as-monitor|the-urgency-of-now
prison,environment,The Prison,Correctional facility total institution,time-weight|surveillance|routine|enclosure,becoming-numbered|becoming-internal|becoming-tactical,freedom-in-constraint|the-cell-as-world
subway,environment,The Subway,Underground transit rush hour,crowd-pressure|tunnel-dark|speed|anonymity,becoming-compressed|becoming-patient|becoming-anonymous,transit-as-meditation|the-crowd-as-organism
airport,environment,The Airport,International terminal waiting,time-suspension|nowhere-place|anticipation|anonymity,becoming-patient|becoming-nowhere|becoming-observer,transit-as-limbo|the-gate-as-threshold
farm,environment,The Farm,Working farm dawn,animal-sounds|soil-smell|labor|cycles,becoming-early|becoming-dirty|becoming-rhythmic,growth-as-logic|the-season-as-master
office,environment,The Office,Open plan tech company,fluorescent-light|typing-sounds|performance|surveillance,becoming-visible|becoming-productive|becoming-anxious,work-as-performance|the-desk-as-identity
kitchen,environment,The Kitchen,Restaurant during rush,heat|speed|coordination|pressure,becoming-fast|becoming-precise|becoming-team,the-ticket-as-command|heat-as-medium
construction_site,environment,The Construction Site,High-rise going up,noise|danger|verticality|progress,becoming-careful|becoming-strong|becoming-part,building-as-growth|the-beam-as-structure
cemetery,environment,The Cemetery,Old cemetery quiet,silence|names|time|mortality,becoming-reflective|becoming-mortal|becoming-grateful,death-as-neighbor|the-stone-as-memory
garden,environment,The Garden,Home garden tending,soil-touch|patience|growth|insects,becoming-patient|becoming-attentive|becoming-dirty,tending-as-love|the-seed-as-faith

# OBJECTS
knife,object,The Kitchen Knife,Daily food preparation,edge-sharpness|weight-in-hand|danger-proximity|material-resistance,becoming-precise|becoming-careful|becoming-transformer,code-as-cut|the-ethics-of-the-edge
cello,object,The Cello,String instrument resonance,vibration-in-body|bow-resistance|wood-warmth|deep-tone,becoming-resonant|becoming-patient|becoming-embodied,code-as-score|the-body-as-instrument
shovel,object,The Shovel,Manual labor earth-moving,handle-grain|soil-weight|back-strain|slow-progress,becoming-laborer|becoming-patient|becoming-earth,code-as-digging|the-depth-of-the-shallow
chair,object,The Chair,Sedentary work ergonomic tension,body-compression|stillness|screen-focus|time-dilation,becoming-seated|becoming-compressed|becoming-internal,the-world-from-stillness|thought-as-posture
hammer,object,The Hammer,Construction building,impact-shock|precision|danger|rhythm,becoming-builder|becoming-precise|becoming-strong,building-as-rhythm|the-nail-as-target
pen,object,The Pen,Writing by hand,ink-flow|hand-cramp|thought-slowing|permanence,becoming-slow|becoming-deliberate|becoming-precise,thought-as-line|the-page-as-field
camera,object,The Camera,Photography practice,framing|light-sensitivity|moment-capture|patience,becoming-observer|becoming-patient|becoming-framer,seeing-as-practice|the-frame-as-choice
bicycle,object,The Bicycle,Daily commute urban,balance|speed|wind|vulnerability,becoming-fast|becoming-alert|becoming-free,city-as-route|the-wheel-as-meditation
book,object,The Book,Reading alone night,immersion|eye-strain|time-loss|other-worlds,becoming-absorbed|becoming-still|becoming-elsewhere,reading-as-travel|the-page-as-portal
piano,object,The Piano,Learning to play adult,finger-frustration|repetition|small-progress|beauty-glimpses,becoming-patient|becoming-disciplined|becoming-listener,practice-as-accumulation|the-key-as-door
bed,object,The Bed,Sleep and waking,warmth|dream-residue|reluctance|sanctuary,becoming-rested|becoming-vulnerable|becoming-still,sleep-as-reset|the-sheet-as-boundary
phone,object,The Phone,Constant companion screen,notification-anxiety|connection|distraction|dependency,becoming-distracted|becoming-connected|becoming-anxious,screen-as-world|the-scroll-as-habit
stove,object,The Stove,Cooking daily,heat-control|transformation|danger|nourishment,becoming-attentive|becoming-patient|becoming-transformer,heat-as-tool|the-meal-as-gift
mirror,object,The Mirror,Daily confrontation,self-image|aging|scrutiny|recognition,becoming-aware|becoming-critical|becoming-accepting,reflection-as-confrontation|the-face-as-stranger

# ARTWORKS
bach_cello,artwork,Bach Cello Suite No. 1,Listening alone headphones,mathematical-beauty|melancholy|solitude|inevitability,becoming-listener|becoming-still|becoming-structured,code-as-counterpoint|the-logic-of-feeling
caravaggio,artwork,Caravaggio Judith Beheading Holofernes,Museum encounter,violence-beauty|darkness-light|feminine-power|disgust-fascination,becoming-witness|becoming-implicated|becoming-dark,creation-as-violence|the-cut-that-makes
kafka_trial,artwork,Kafka The Trial,Reading alone night,paranoia|absurdity|bureaucratic-dread|humor-in-horror,becoming-accused|becoming-procedural|becoming-lost,code-as-verdict|the-system-without-exit
tarkovsky_stalker,artwork,Tarkovsky Stalker,Watching alone night,slowness|mystery|zone-logic|spiritual-longing,becoming-patient|becoming-seeker|becoming-uncertain,film-as-zone|the-room-as-desire
coltrane,artwork,Coltrane A Love Supreme,Listening deeply,spiritual-intensity|improvisation|transcendence|effort,becoming-listener|becoming-open|becoming-moved,music-as-prayer|the-horn-as-voice
rothko,artwork,Rothko Chapel Paintings,Standing before,color-depth|silence|vastness|emotion-without-name,becoming-still|becoming-open|becoming-vulnerable,color-as-feeling|the-canvas-as-portal
proust,artwork,Proust In Search of Lost Time,Reading over years,memory|time-folds|sentence-length|beauty,becoming-patient|becoming-rememberer|becoming-attentive,reading-as-life|the-sentence-as-world
dostoevsky,artwork,Dostoevsky Brothers Karamazov,Reading alone,moral-weight|psychology-depth|faith-doubt|suffering,becoming-heavy|becoming-questioning|becoming-empathetic,the-soul-as-battlefield|suffering-as-teacher
bergman,artwork,Bergman Persona,Watching confused,identity-dissolution|silence|face-study|unease,becoming-uncertain|becoming-watchful|becoming-disturbed,film-as-mirror|the-face-as-abyss
arvo_part,artwork,Arvo Part Tabula Rasa,Listening alone,silence-between-notes|simplicity|spiritual-cold|beauty,becoming-still|becoming-empty|becoming-attentive,silence-as-music|the-note-as-event

# EVENTS
fathers_death,event,Death of the Father,Loss of the one who named you,grief-weight|time-rupture|inheritance|unfinished-business,becoming-orphan|becoming-adult|becoming-mortal,work-as-mourning|the-continuation-without
mothers_death,event,Death of the Mother,Loss of first home,grief-abyss|origin-loss|memory-flooding|orphan-complete,becoming-alone|becoming-mortal|becoming-grateful,the-voice-gone|love-without-target
first_love,event,First Love,Adolescent infatuation,intensity|jealousy|idealization|heartbreak-potential,becoming-lover|becoming-vulnerable|becoming-obsessed,desire-as-engine|the-world-through-another
heartbreak,event,Heartbreak,Relationship ending,chest-pain|time-distortion|identity-crisis|obsession,becoming-broken|becoming-obsessed|becoming-eventually-free,loss-as-teacher|the-absence-as-presence
discrimination,event,Being Discriminated Against,Racial or cultural exclusion,shame|rage|invisibility|hyper-visibility,becoming-marked|becoming-political|becoming-strategic,code-as-resistance|the-outside-within
accident,event,Witnessing an Accident,Car crash sudden violence,shock|time-dilation|helplessness|mortality-flash,becoming-fragile|becoming-present|becoming-careful,the-contingency-of-everything|luck-as-logic
birth_child,event,Birth of a Child,Becoming a parent,overwhelm|love-flood|responsibility|identity-shift,becoming-parent|becoming-selfless|becoming-tired,child-as-world|the-future-as-person
illness,event,Serious Illness,Hospitalization diagnosis,body-betrayal|mortality|dependency|time-change,becoming-patient|becoming-mortal|becoming-grateful,body-as-stranger|health-as-gift
job_loss,event,Losing a Job,Unexpected termination,shock|shame|freedom|anxiety,becoming-unemployed|becoming-anxious|becoming-free,identity-without-role|time-as-burden
graduation,event,Graduation,Completing education,relief|uncertainty|ending|beginning,becoming-finished|becoming-uncertain|becoming-adult,the-degree-as-door|knowledge-as-incomplete
marriage,event,Getting Married,Wedding and commitment,joy|fear|permanence|witness,becoming-partnered|becoming-committed|becoming-witnessed,love-as-structure|the-vow-as-binding
divorce,event,Divorce,Marriage ending,failure|freedom|grief|paperwork,becoming-single|becoming-free|becoming-wounded,love-as-temporary|the-document-as-death
migration,event,Migration,Moving to new country,dislocation|language-struggle|reinvention|loss,becoming-foreign|becoming-adaptable|becoming-nostalgic,home-as-memory|the-accent-as-mark
promotion,event,Getting Promoted,Career advancement,validation|imposter-syndrome|responsibility|separation,becoming-responsible|becoming-visible|becoming-anxious,success-as-burden|the-title-as-mask
retirement,event,Retirement,End of career,time-excess|identity-loss|freedom|mortality,becoming-free|becoming-purposeless|becoming-mortal,work-as-identity|the-day-as-empty
